filename,distribution,version,size_bytes,sha256,source,wheel_only,metadata_requires_dist
catboost-1.2.10-cp312-cp312-win_amd64.whl,catboost,1.2.10,100214655,6b8a7ef11d7a89fc547760cfafeee895011a4b92cc1f60d00235ef80a71158ed,official-pypi,True,"['graphviz', 'matplotlib', 'numpy<3.0,>=1.16.0', 'pandas<4.0,>=0.24', 'scipy', 'plotly', 'six', 'traitlets; extra == ""widget""', 'ipython; extra == ""widget""', 'ipywidgets<9.0,>=7.0; extra == ""widget""']"
contourpy-1.3.3-cp312-cp312-win_amd64.whl,contourpy,1.3.3,226567,8153b8bfc11e1e4d75bcb0bff1db232f9e10b274e0929de9d608027e0d34ff8b,official-pypi,True,"['numpy>=1.25', 'furo; extra == ""docs""', 'sphinx>=7.2; extra == ""docs""', 'sphinx-copybutton; extra == ""docs""', 'bokeh; extra == ""bokeh""', 'selenium; extra == ""bokeh""', 'contourpy[bokeh,docs]; extra == ""mypy""', 'bokeh; extra == ""mypy""', 'docutils-stubs; extra == ""mypy""', 'mypy==1.17.0; extra == ""mypy""', 'types-Pillow; extra == ""mypy""', 'contourpy[test-no-images]; extra == ""test""', 'matplotlib; extra == ""test""', 'Pillow; extra == ""test""', 'pytest; extra == ""test-no-images""', 'pytest-cov; extra == ""test-no-images""', 'pytest-rerunfailures; extra == ""test-no-images""', 'pytest-xdist; extra == ""test-no-images""', 'wurlitzer; extra == ""test-no-images""']"
cycler-0.12.1-py3-none-any.whl,cycler,0.12.1,8321,85cef7cff222d8644161529808465972e51340599459b8ac3ccbac5a854e0d30,official-pypi,True,"[""ipython ; extra == 'docs'"", ""matplotlib ; extra == 'docs'"", ""numpydoc ; extra == 'docs'"", ""sphinx ; extra == 'docs'"", ""pytest ; extra == 'tests'"", ""pytest-cov ; extra == 'tests'"", ""pytest-xdist ; extra == 'tests'""]"
fonttools-4.63.0-cp312-cp312-win_amd64.whl,fonttools,4.63.0,2343211,59ac449f8cca9b4ffa08d2e7bbadad87ce710d69d1eda5c3c1ce579baa987272,official-pypi,True,"['lxml>=4.0; extra == ""lxml""', 'brotli>=1.0.1; platform_python_implementation == ""CPython"" and extra == ""woff""', 'brotlicffi>=0.8.0; platform_python_implementation != ""CPython"" and extra == ""woff""', 'zopfli>=0.1.4; extra == ""woff""', 'unicodedata2>=17.0.0; python_version <= ""3.14"" and extra == ""unicode""', 'lz4>=1.7.4.2; extra == ""graphite""', 'scipy; platform_python_implementation != ""PyPy"" and extra == ""interpolatable""', 'munkres; platform_python_implementation == ""PyPy"" and extra == ""interpolatable""', 'pycairo; extra == ""interpolatable""', 'matplotlib; extra == ""plot""', 'sympy; extra == ""symfont""', 'xattr; sys_platform == ""darwin"" and extra == ""type1""', 'skia-pathops>=0.5.0; extra == ""pathops""', 'uharfbuzz>=0.45.0; extra == ""repacker""', 'lxml>=4.0; extra == ""all""', 'brotli>=1.0.1; platform_python_implementation == ""CPython"" and extra == ""all""', 'brotlicffi>=0.8.0; platform_python_implementation != ""CPython"" and extra == ""all""', 'zopfli>=0.1.4; extra == ""all""', 'unicodedata2>=17.0.0; python_version <= ""3.14"" and extra == ""all""', 'lz4>=1.7.4.2; extra == ""all""', 'scipy; platform_python_implementation != ""PyPy"" and extra == ""all""', 'munkres; platform_python_implementation == ""PyPy"" and extra == ""all""', 'pycairo; extra == ""all""', 'matplotlib; extra == ""all""', 'sympy; extra == ""all""', 'xattr; sys_platform == ""darwin"" and extra == ""all""', 'skia-pathops>=0.5.0; extra == ""all""', 'uharfbuzz>=0.45.0; extra == ""all""']"
graphviz-0.21-py3-none-any.whl,graphviz,0.21,47300,54f33de9f4f911d7e84e4191749cac8cc5653f815b06738c54db9a15ab8b1e42,official-pypi,True,"['build; extra == ""dev""', 'wheel; extra == ""dev""', 'twine; extra == ""dev""', 'flake8; extra == ""dev""', 'Flake8-pyproject; extra == ""dev""', 'pep8-naming; extra == ""dev""', 'tox>=3; extra == ""dev""', 'pytest<8.1,>=7; extra == ""test""', 'pytest-mock>=3; extra == ""test""', 'pytest-cov; extra == ""test""', 'coverage; extra == ""test""', 'sphinx<7,>=5; extra == ""docs""', 'sphinx-autodoc-typehints; extra == ""docs""', 'sphinx-rtd-theme>=0.2.5; extra == ""docs""']"
joblib-1.5.3-py3-none-any.whl,joblib,1.5.3,309071,5fc3c5039fc5ca8c0276333a188bbd59d6b7ab37fe6632daa76bc7f9ec18e713,existing-gate2a-wheelhouse,True,[]
kiwisolver-1.5.0-cp312-cp312-win_amd64.whl,kiwisolver,1.5.0,73569,f18c2d9782259a6dc132fdc7a63c168cbc74b35284b6d75c673958982a378384,existing-gate2a-wheelhouse,True,[]
matplotlib-3.11.1-cp312-cp312-win_amd64.whl,matplotlib,3.11.1,9333886,88a2a27dd9691ae448dfae4b26f59036be90c3c28757edd3553a29559d00859f,official-pypi,True,"['contourpy>=1.0.1', 'cycler>=0.10', 'fonttools>=4.28.2', 'kiwisolver>=1.3.1', 'numpy>=1.25', 'packaging>=20.0', 'pillow>=9', 'pyparsing>=3', 'python-dateutil>=2.7']"
narwhals-2.24.0-py3-none-any.whl,narwhals,2.24.0,461030,42fdedf44e5b2ca7505630d45b4ac3058f38d8485cba9fe1652ca23152df7489,existing-gate2a-wheelhouse,True,"[""cudf-cu12>=24.10.0 ; sys_platform == 'linux' and extra == 'cudf'"", ""dask[dataframe]>=2024.8 ; extra == 'dask'"", ""duckdb>=1.1 ; extra == 'duckdb'"", ""ibis-framework>=6.0.0 ; extra == 'ibis'"", ""packaging>=21.3 ; extra == 'ibis'"", ""pyarrow-hotfix>=0.7 ; extra == 'ibis'"", ""modin>=0.22.0 ; extra == 'modin'"", ""pandas>=1.3.4 ; extra == 'pandas'"", ""polars>=0.20.4 ; extra == 'polars'"", ""pyarrow>=13.0.0 ; extra == 'pyarrow'"", ""pyspark>=3.5.0 ; extra == 'pyspark'"", ""pyspark[connect]>=3.5.0 ; extra == 'pyspark-connect'"", ""narwhals[duckdb] ; extra == 'sql'"", ""sqlparse>=0.5.5 ; extra == 'sql'"", ""sqlframe>=3.22.0,!=3.39.3 ; extra == 'sqlframe'""]"
numpy-2.3.5-cp312-cp312-win_amd64.whl,numpy,2.3.5,12782922,86945f2ee6d10cdfd67bcb4069c1662dd711f7e2a4343db5cecec06b87cf31aa,existing-gate2a-wheelhouse,True,[]
packaging-26.2-py3-none-any.whl,packaging,26.2,100195,5fc45236b9446107ff2415ce77c807cee2862cb6fac22b8a73826d0693b0980e,official-pypi,True,[]
